geoid,name,pov_quintile,poc_quintile,foreign_born_quintile,lep_quintile,disability_quintile,race_score,pov_score,lep_score,disability_score,foreign_born_score,final_score,acs_year
530330099002,"Block Group 2, Census Tract 99, King County, Washington",5,4,2,3,3,1.6,1.5,0.30000000000000004,0.30000000000000004,0.2,4,2019
530330099003,"Block Group 3, Census Tract 99, King County, Washington",3,3,4,1,4,1.2000000000000002,0.8999999999999999,0.1,0.4,0.4,3,2019
530330099004,"Block Group 4, Census Tract 99, King County, Washington",3,2,1,3,3,0.8,0.8999999999999999,0.30000000000000004,0.30000000000000004,0.1,2,2019
530330100011,"Block Group 1, Census Tract 100.01, King County, Washington",4,4,3,1,5,1.6,1.2,0.1,0.5,0.30000000000000004,4,2019
530330100012,"Block Group 2, Census Tract 100.01, King County, Washington",2,4,3,4,2,1.6,0.6,0.4,0.2,0.30000000000000004,3,2019
530330100013,"Block Group 3, Census Tract 100.01, King County, Washington",5,5,5,5,4,2,1.5,0.5,0.4,0.5,5,2019
530330100021,"Block Group 1, Census Tract 100.02, King County, Washington",3,3,2,4,2,1.2000000000000002,0.8999999999999999,0.4,0.2,0.2,3,2019
530330100022,"Block Group 2, Census Tract 100.02, King County, Washington",5,5,5,5,3,2,1.5,0.5,0.30000000000000004,0.5,5,2019
530330100023,"Block Group 3, Census Tract 100.02, King County, Washington",2,3,2,3,3,1.2000000000000002,0.6,0.30000000000000004,0.30000000000000004,0.2,3,2019
530330100024,"Block Group 4, Census Tract 100.02, King County, Washington",4,5,4,5,3,2,1.2,0.5,0.30000000000000004,0.4,4,2019
530330101001,"Block Group 1, Census Tract 101, King County, Washington",1,3,2,1,2,1.2000000000000002,0.3,0.1,0.2,0.2,2,2019
530330101002,"Block Group 2, Census Tract 101, King County, Washington",3,3,1,1,4,1.2000000000000002,0.8999999999999999,0.1,0.4,0.1,3,2019
530330101003,"Block Group 3, Census Tract 101, King County, Washington",5,5,5,1,5,2,1.5,0.1,0.5,0.5,5,2019
530330101004,"Block Group 4, Census Tract 101, King County, Washington",5,5,5,5,2,2,1.5,0.5,0.2,0.5,5,2019
530330101005,"Block Group 5, Census Tract 101, King County, Washington",5,5,4,5,5,2,1.5,0.5,0.5,0.4,5,2019
530330102001,"Block Group 1, Census Tract 102, King County, Washington",1,3,1,1,2,1.2000000000000002,0.3,0.1,0.2,0.1,2,2019
530330102002,"Block Group 2, Census Tract 102, King County, Washington",1,2,2,2,1,0.8,0.3,0.2,0.1,0.2,2,2019
530330102003,"Block Group 3, Census Tract 102, King County, Washington",2,4,4,4,3,1.6,0.6,0.4,0.30000000000000004,0.4,3,2019
530330102004,"Block Group 4, Census Tract 102, King County, Washington",3,2,1,1,3,0.8,0.8999999999999999,0.1,0.30000000000000004,0.1,2,2019
530330103001,"Block Group 1, Census Tract 103, King County, Washington",1,1,1,1,1,0.4,0.3,0.1,0.1,0.1,1,2019
530330103002,"Block Group 2, Census Tract 103, King County, Washington",5,4,2,3,2,1.6,1.5,0.30000000000000004,0.2,0.2,4,2019
530330103003,"Block Group 3, Census Tract 103, King County, Washington",5,5,5,5,5,2,1.5,0.5,0.5,0.5,5,2019
530330103004,"Block Group 4, Census Tract 103, King County, Washington",3,5,4,1,5,2,0.8999999999999999,0.1,0.5,0.4,4,2019
530330103005,"Block Group 5, Census Tract 103, King County, Washington",4,2,2,3,4,0.8,1.2,0.30000000000000004,0.4,0.2,3,2019
530330104011,"Block Group 1, Census Tract 104.01, King County, Washington",4,4,3,4,3,1.6,1.2,0.4,0.30000000000000004,0.30000000000000004,4,2019
530330104012,"Block Group 2, Census Tract 104.01, King County, Washington",4,5,5,5,4,2,1.2,0.5,0.4,0.5,5,2019
530330104013,"Block Group 3, Census Tract 104.01, King County, Washington",4,5,5,5,4,2,1.2,0.5,0.4,0.5,5,2019
